CATEGORY,ARTICLE,DESCRIPTION,DATE,SALES,YEAR,MONTH,QUARTER,MONTH_NAME,IS_HOLIDAY_SEASON
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-01-01,49.0,2018,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-01-01,49.0,2018,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-02-01,76.0,2018,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-02-01,76.0,2018,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-03-01,46.0,2018,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-03-01,46.0,2018,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-04-01,29.0,2018,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-04-01,29.0,2018,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-05-01,10.0,2018,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-05-01,10.0,2018,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-06-01,5.0,2018,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-06-01,5.0,2018,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-07-01,220.0,2018,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-07-01,220.0,2018,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-08-01,236.0,2018,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-08-01,236.0,2018,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-09-01,10.0,2018,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-09-01,10.0,2018,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-10-01,273.0,2018,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-10-01,273.0,2018,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-11-01,5.0,2018,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-11-01,5.0,2018,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2018-12-01,0.0,2018,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2018-12-01,0.0,2018,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2019-01-01,0.0,2019,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2019-01-01,0.0,2019,1,1,January,0
