CATEGORY,ARTICLE,DESCRIPTION,PREDICTED_DATE,PREDICTED_SALES,LAST_ACTUAL_SALES,GROWTH,MAE,RMSE
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-01-01,68.3,20.0,48.3,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-02-01,144.2,20.0,124.19999999999999,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-03-01,102.7,20.0,82.7,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-04-01,60.64,20.0,40.64,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-05-01,112.76,20.0,92.76,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-06-01,51.3,20.0,31.299999999999997,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-07-01,116.09,20.0,96.09,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-08-01,43.57,20.0,23.57,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-09-01,74.78,20.0,54.78,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-10-01,14.71,20.0,-5.289999999999999,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-11-01,19.33,20.0,-0.6700000000000017,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2024-12-01,86.45,20.0,66.45,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2024-01-01,68.3,20.0,48.3,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2024-02-01,144.2,20.0,124.19999999999999,41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2024-03-01,102.7,20.0,82.7,41.259166666666665,73.39305513239428
