CATEGORY,ARTICLE,DESCRIPTION,MAE,RMSE
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.24174603174603174,0.4451322564340457
REFRIGERATION,REFRIGERANT ,REFRIGERANT #134-A,0.3183333333333333,0.5114684741017769
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.5016666666666666,0.6728422301451259
PLUMBING,GI PIPE,"GI PIPE 1"" X 20' SCH.40",0.6425,0.7674362079895197
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.7016666666666667,0.836231626604336
PLUMBING,GI PIPE,"GI PIPE 1 1/2"" X 20 40 SCH.",0.5716666666666667,0.9018037480516479
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,1.3333333333333333,1.7086203011006669
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",1.405,1.7981286568726573
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),1.611736111111111,1.8468791400279472
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",1.1216666666666666,2.112620805224323
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,1.389027777777778,3.446660790076658
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.3658333333333332,3.459435165842347
PLUMBING,GATE VALVE,"GATE VALVE 1/2""",2.543333333333333,3.4646765120763194
BUILDINGS,SCREEN MATTING,SCREEN MATTING,1.5833333333333333,4.9413223601245315
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,5.759166666666666,6.261428883782572
OFFICE,BOND PAPER,A3  COPY PAPER,5.745,7.412133071300505
PLUMBING,PVC PIPE,"PVC PIPE 1/2"" X 10' BLUE",6.550833333333333,8.308453024881748
MOTORPOOL,OIL FILTER ,OIL FILTER (SAKURA) C-1712,2.75,9.242113755341181
OFFICE,INK,INK EPSON T6641   BLACK,6.571666666666666,9.654978853765899
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,2.8557698412698413,9.815240294180366
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",8.348333333333334,10.917403537471717
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",9.795,11.197087418907948
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,8.079166666666667,11.733050541099702
REFRIGERATION,REFRIGERANT ,REFRIGERANT #22,8.666916666666667,12.361201954098153
OFFICE,BOND PAPER,A4  COPY PAPER,10.530833333333334,13.42187486903376
PLUMBING,PVC PIPE,"PVC PIPE 3/4"" BLUE",9.720833333333333,13.850693424277836
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,4.333333333333333,15.01110699893027
REFRIGERATION,REFRIGERANT ,REFRIGERANT # R-410A,16.6745,21.77977769246815
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,20.430833333333336,21.79284343540328
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,17.70416666666667,24.764223354131932
OFFICE,ALCOHOL,ALCOHOL ISOPROPYL 70% 500ml,17.86,27.311091763848136
ELECTRICAL,TOX,PLASTIC TOX #8,34.49999999999999,47.57570283243328
OFFICE,TISSUE,"TISSUE/TOILET PAPER, 3-ply, 600 sheets, 100% Virgin Pulp",41.80249999999999,54.40428636605759
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",50.155,55.64615695026327
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",41.259166666666665,73.39305513239428
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",41.259166666666665,73.39305513239428
REFRIGERATION,COPPER TUBE ,"COPPER TUBE 1/2""",107.16000000000001,143.72998312808642
REFRIGERATION,COPPER TUBE ,"COPPER TUBE  3/8""",147.10999999999999,181.32502801139543
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",347.8475,366.411120316601
