CATEGORY,ARTICLE,DESCRIPTION,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",49,76,46,29,10,5,220,236,10,273,5,0,0,167,133,15,16,4,207,0,48,0,1,0,30,188,100,0,0,5,0,120,12,3,8,34,70,42,561,0,10,18,0,0,34,4,0,5,0,12,41,288,93,0,52,2,8,37,20,12,33,45,20,101,62,248,6,25,15,0,73,20
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",67,40,9,14,11,18,31,27,5,109,10,0,23,127,64,10,13,14,64,2,30,5,1,0,15,33,0,0,0,0,4,8,3,8,68,11,17,14,9,0,0,36,7,0,40,0,7,1,13,3,50,10,32,0,22,58,20,6,0,31,4,27,27,32,10,24,3,2,0,3,11,2
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",221,225,71,46,20,35,122,318,356,786,6,10,20,114,160,4,95,17,550,8,378,15,7,0,24,151,42,0,0,96,2,89,10,42,22,51,61,214,240,4,31,139,2,7,140,35,147,33,79,54,435,198,266,0,278,128,136,10,125,9,88,63,20,107,14,7,35,0,8,13,120,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",49,76,46,29,10,5,220,236,10,273,5,0,0,167,133,15,16,4,207,0,48,0,1,0,30,188,100,0,0,5,0,120,12,3,8,34,70,42,561,0,10,18,0,0,34,4,0,5,0,12,41,288,93,0,52,2,8,37,20,12,33,45,20,101,62,248,6,25,15,0,73,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLUMBING,PVC PIPE,"PVC PIPE 1/2"" X 10' BLUE",1,4,1,3,11,2,27,11,7,6,6,11,6,8,14,12,2,2,4,26,21,12,8,0,4,17,9,0,0,0,7,0,5,3,0,1,0,15,9,0,4,0,6,8,0,5,2,0,0,4,8,5,3,4,13,16,17,14,20,0,4,9,10,19,12,20,24,12.5,29,8,11,13
PLUMBING,GATE VALVE,"GATE VALVE 1/2""",1,2,4,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,1,3,1,7,4,4,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,9,1,2,1,0,0
PLUMBING,GI PIPE,"GI PIPE 1 1/2"" X 20 40 SCH.",0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,1,1,2,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1
PLUMBING,GI PIPE,"GI PIPE 1"" X 20' SCH.40",0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,0,0,1,0,3,1,1,0,1,0,0,2,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0
PLUMBING,PVC PIPE,"PVC PIPE 3/4"" BLUE",0,1,0,9,6,11,15,11,18,12,1,2,0,9,26,16,10,8,4,6,5,3,8,0,4,10,6,0,0,0,2,0,0,1,0,4,1,16,0,0,8,0,19,0,4,10,0,3,8,3,5,5,16,10,5,2,0,21,4,0,15,30,8,38,9,20,32,12,15,5,8,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",11,0,0,3,0,0,12,10,73,0,0,0,10,60,60,0,0,0,10,60,0,0,0,20,0,0,10,0,0,0,20,3,10,6,20,0,12,0,0,0,0,80,7,0,20,0,5,0,20,0,0,20,10,0,20,0,0,0,0,0,35,0,10,0,10,21,0,5,0,10,0,0
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,70,1,1,10,0,0,0,4,0,0,0,0,0,2,0,0,2,27,10,15,0,1,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,86,14,1,0,75,0,10,0,0,0,0,10,0,10,9,0,21,0,0,0
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,68,58,23,21,14,13,34,121,40,19,24,23,15,29,131,150,21,21,62,44,27,66,42,28,31,53,62,0,0,0,25,0,4,0,3,0,28,0,29,4,11,38,32,4,5,15,30,27,13,28,31,11,30,42,4,53,2,33,27,0,0,0,9,50,41,0,0,0,0,0,0,0
ELECTRICAL,TOX,PLASTIC TOX #8,0,0,0,0,50,50,30,31,0,10,0,0,0,120,490,435,15,0,0,20,120,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,0,100,0,0,0,20,20,60,0,0,0,0,0,0,0,0,0,10,0,10,0,30,0,0,0,0,30,0,15,100,0,0,0,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
